Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS723H	MSP430G2202	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2232	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2302	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2332	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2402	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2432	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2203	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2233	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2303	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2333	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2403	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2433	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2533	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2153	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2213	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2253	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2313	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2353	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2413	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2453	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
